sequence,found_in_MEGAHIT,found_in_SPAdes,status,MEGAHIT_vs2_score,MEGAHIT_dvf_score,MEGAHIT_identified_by,SPAdes_vs2_score,SPAdes_dvf_score,SPAdes_identified_by
k141_98579,Yes,No,Consensus,0.713,0.0535398833453655,Both,N/A,N/A,N/A
NODE_7098_length_1026_cov_1.129763,No,Yes,Consensus,N/A,N/A,N/A,0.933,0.0002956288517452,Both
k141_92180,Yes,No,Consensus,0.667,0.0001789456000551,Both,N/A,N/A,N/A
k141_56327,Yes,No,Consensus,1.0,0.5510005950927734,Both,N/A,N/A,N/A
k141_60064,Yes,No,Consensus,,0.0005530914058908,Both,N/A,N/A,N/A
k141_155096,Yes,No,Consensus,,0.0009507455979473,Both,N/A,N/A,N/A
k141_142544,Yes,No,Consensus,,0.341950923204422,Both,N/A,N/A,N/A
k141_73725,Yes,No,Consensus,0.967,0.1381361633539199,Both,N/A,N/A,N/A
k141_23087,Yes,No,Consensus,0.647,0.0298305954784154,Both,N/A,N/A,N/A
k141_64757,Yes,No,Consensus,0.7,0.0305738113820552,Both,N/A,N/A,N/A
k141_28279,Yes,No,Consensus,0.66,0.0061640124768018,Both,N/A,N/A,N/A
k141_171956,Yes,No,Consensus,0.66,0.0169578399509191,Both,N/A,N/A,N/A
NODE_6848_length_1035_cov_1.688776,No,Yes,Consensus,N/A,N/A,N/A,0.593,0.0768714249134063,Both
k141_166873,Yes,No,Consensus,0.56,0.0016277867835015,Both,N/A,N/A,N/A
NODE_3746_length_1219_cov_4.390893,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.9999974966049194,Both
k141_1213,Yes,No,Consensus,0.993,0.9474252462387084,Both,N/A,N/A,N/A
k141_160975,Yes,No,Consensus,0.64,0.1735443472862243,Both,N/A,N/A,N/A
k141_92419,Yes,No,Consensus,,0.8687925934791565,Both,N/A,N/A,N/A
k141_81601,Yes,No,Consensus,1.0,0.3275741934776306,Both,N/A,N/A,N/A
k141_33917,Yes,No,Consensus,0.76,7.368167280219495e-05,Both,N/A,N/A,N/A
k141_154588,Yes,No,Consensus,0.793,5.169938231119886e-05,Both,N/A,N/A,N/A
k141_178404,Yes,No,Consensus,0.847,0.0002166408667108,Both,N/A,N/A,N/A
k141_119834,Yes,No,Consensus,0.767,0.5061466693878174,Both,N/A,N/A,N/A
k141_57644,Yes,No,Consensus,0.647,0.1044891849160194,Both,N/A,N/A,N/A
k141_45034,Yes,No,Consensus,0.927,0.4023945033550262,Both,N/A,N/A,N/A
k141_11155,Yes,No,Consensus,0.78,0.9481088519096376,Both,N/A,N/A,N/A
k141_127449,Yes,No,Consensus,0.947,0.8791821002960205,Both,N/A,N/A,N/A
k141_143837,Yes,No,Consensus,0.747,0.0150636760517954,Both,N/A,N/A,N/A
k141_177474,Yes,No,Consensus,0.767,6.431894234992797e-07,Both,N/A,N/A,N/A
k141_48738,Yes,No,Consensus,0.567,0.008446404710412,Both,N/A,N/A,N/A
k141_157884,Yes,No,Consensus,0.787,0.2232435643672943,Both,N/A,N/A,N/A
k141_155573,Yes,No,Consensus,0.533,0.0233670100569725,Both,N/A,N/A,N/A
k141_84526,Yes,No,Consensus,0.553,0.0001080096917576,Both,N/A,N/A,N/A
k141_97855,Yes,No,Consensus,0.993,0.9996910095214844,Both,N/A,N/A,N/A
k141_95230,Yes,No,Consensus,0.847,0.1605611741542816,Both,N/A,N/A,N/A
k141_12968,Yes,No,Consensus,0.68,0.0332037881016731,Both,N/A,N/A,N/A
NODE_5707_length_1086_cov_1.526673,No,Yes,Consensus,N/A,N/A,N/A,0.88,0.0022738496772944,Both
k141_122119,Yes,No,Consensus,0.953,0.0610261149704456,Both,N/A,N/A,N/A
k141_172154,Yes,No,Consensus,0.507,3.509503088139354e-08,Both,N/A,N/A,N/A
k141_68639,Yes,No,Consensus,1.0,0.0033558430150151,Both,N/A,N/A,N/A
k141_110801,Yes,No,Consensus,0.987,8.51623198627749e-08,Both,N/A,N/A,N/A
k141_4505,Yes,No,Consensus,0.993,0.1039831489324569,Both,N/A,N/A,N/A
k141_60765,Yes,No,Consensus,0.673,1.866022500962572e-07,Both,N/A,N/A,N/A
k141_158787,Yes,No,Consensus,,0.9451613426208496,Both,N/A,N/A,N/A
k141_19918,Yes,No,Consensus,0.56,0.0027381116524338,Both,N/A,N/A,N/A
k141_22494,Yes,No,Consensus,0.893,0.2387614697217941,Both,N/A,N/A,N/A
k141_24829,Yes,No,Consensus,0.713,0.8338873386383057,Both,N/A,N/A,N/A
k141_115781,Yes,No,Consensus,0.66,8.010597957763821e-05,Both,N/A,N/A,N/A
k141_101375,Yes,No,Consensus,0.547,0.0044070952571928,Both,N/A,N/A,N/A
k141_40441,Yes,No,Consensus,0.953,3.674795152619481e-07,Both,N/A,N/A,N/A
k141_29007,Yes,No,Consensus,0.96,0.0028633524198085,Both,N/A,N/A,N/A
k141_173565,Yes,No,Consensus,0.64,3.978349923272617e-06,Both,N/A,N/A,N/A
k141_146603,Yes,No,Consensus,0.753,0.0127360019832849,Both,N/A,N/A,N/A
k141_142399,Yes,No,Consensus,0.613,0.4016808867454529,Both,N/A,N/A,N/A
k141_116121,Yes,No,Consensus,0.673,0.0055610141716897,Both,N/A,N/A,N/A
NODE_2826_length_1314_cov_2.544877,No,Yes,Consensus,N/A,N/A,N/A,,0.0876754596829414,Both
k141_91875,Yes,No,Consensus,0.513,0.0037063288036733,Both,N/A,N/A,N/A
k141_169205,Yes,No,Consensus,0.78,0.0171886906027793,Both,N/A,N/A,N/A
k141_101436,Yes,No,Consensus,0.993,0.9990519285202026,Both,N/A,N/A,N/A
k141_34609,Yes,No,Consensus,0.507,0.0007761545130051,Both,N/A,N/A,N/A
k141_43924,Yes,No,Consensus,0.6,1.3538899565901374e-06,Both,N/A,N/A,N/A
k141_135990,Yes,No,Consensus,0.813,0.0334359966218471,Both,N/A,N/A,N/A
k141_181205,Yes,No,Consensus,0.92,0.9602684378623962,Both,N/A,N/A,N/A
k141_109342,Yes,No,Consensus,1.0,0.0065380688756704,Both,N/A,N/A,N/A
k141_74880,Yes,No,Consensus,0.813,6.51434959308972e-08,Both,N/A,N/A,N/A
k141_124254,Yes,No,Consensus,,0.1550056636333465,Both,N/A,N/A,N/A
k141_150915,Yes,No,Consensus,1.0,0.2907477021217346,Both,N/A,N/A,N/A
k141_90747,Yes,No,Consensus,0.993,0.4297851920127868,Both,N/A,N/A,N/A
k141_85001,Yes,No,Consensus,0.747,0.0208170469850301,Both,N/A,N/A,N/A
k141_134973,Yes,No,Consensus,0.673,0.0529652088880538,Both,N/A,N/A,N/A
k141_163182,Yes,No,Consensus,0.833,0.0897708237171173,Both,N/A,N/A,N/A
k141_150238,Yes,No,Consensus,0.627,0.0668371170759201,Both,N/A,N/A,N/A
NODE_239_length_2691_cov_3.421093,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.0293979011476039,Both
k141_37611,Yes,No,Consensus,0.633,0.076621226966381,Both,N/A,N/A,N/A
k141_14004,Yes,No,Consensus,1.0,0.0511943846940994,Both,N/A,N/A,N/A
k141_154437,Yes,No,Consensus,0.827,0.000476096465718,Both,N/A,N/A,N/A
k141_86939,Yes,No,Consensus,0.567,0.9051861763000488,Both,N/A,N/A,N/A
k141_131151,Yes,No,Consensus,0.627,0.0006009235512465,Both,N/A,N/A,N/A
k141_46008,Yes,No,Consensus,0.66,0.001523292157799,Both,N/A,N/A,N/A
k141_92947,Yes,No,Consensus,1.0,0.000140405332786,Both,N/A,N/A,N/A
NODE_3900_length_1207_cov_1.001736,No,Yes,Consensus,N/A,N/A,N/A,0.527,0.3571505844593048,Both
NODE_4227_length_1180_cov_3.141333,No,Yes,Consensus,N/A,N/A,N/A,0.86,0.9827899932861328,Both
k141_41433,Yes,No,Consensus,0.9,0.1053837239742279,Both,N/A,N/A,N/A
k141_156284,Yes,No,Consensus,0.627,0.8650914430618286,Both,N/A,N/A,N/A
k141_136142,Yes,No,Consensus,0.78,0.0031017703004181,Both,N/A,N/A,N/A
k141_172228,Yes,No,Consensus,0.933,0.1162680238485336,Both,N/A,N/A,N/A
k141_102556,Yes,No,Consensus,0.753,0.2604448795318603,Both,N/A,N/A,N/A
NODE_774_length_1886_cov_3.287275,No,Yes,Consensus,N/A,N/A,N/A,0.953,0.5822798609733582,Both
k141_160022,Yes,No,Consensus,,1.649744945098064e-06,Both,N/A,N/A,N/A
k141_32700,Yes,No,Consensus,1.0,0.042344257235527,Both,N/A,N/A,N/A
NODE_930_length_1800_cov_1.631519,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.1916153281927108,Both
k141_67436,Yes,No,Consensus,0.673,0.0286139585077762,Both,N/A,N/A,N/A
k141_16061,Yes,No,Consensus,0.973,0.000261142355157,Both,N/A,N/A,N/A
k141_124799,Yes,No,Consensus,0.973,0.1418932974338531,Both,N/A,N/A,N/A
k141_65180,Yes,No,Consensus,1.0,0.0767564624547958,Both,N/A,N/A,N/A
k141_106419,Yes,No,Consensus,0.887,0.1666228771209716,Both,N/A,N/A,N/A
NODE_2886_length_1308_cov_2.083799,No,Yes,Consensus,N/A,N/A,N/A,0.94,0.2460124045610427,Both
k141_6290,Yes,No,Consensus,0.713,0.0013859457103535,Both,N/A,N/A,N/A
k141_169646,Yes,No,Consensus,0.953,0.1723199784755706,Both,N/A,N/A,N/A
NODE_2241_length_1402_cov_1.198218,No,Yes,Consensus,N/A,N/A,N/A,0.927,0.0274603236466646,Both
k141_31404,Yes,No,Consensus,0.553,0.3862362504005432,Both,N/A,N/A,N/A
k141_127015,Yes,No,Consensus,0.987,0.0217448789626359,Both,N/A,N/A,N/A
NODE_1304_length_1627_cov_5.342239,No,Yes,Consensus,N/A,N/A,N/A,0.647,0.0222396031022071,Both
k141_82740,Yes,No,Consensus,0.933,0.0014584937598556,Both,N/A,N/A,N/A
k141_163383,Yes,No,Consensus,0.72,0.0002420085656922,Both,N/A,N/A,N/A
k141_91251,Yes,No,Consensus,0.947,0.0057569211348891,Both,N/A,N/A,N/A
k141_115619,Yes,No,Consensus,0.587,0.0002740898053161,Both,N/A,N/A,N/A
k141_156848,Yes,No,Consensus,0.987,0.9872166514396667,Both,N/A,N/A,N/A
k141_41847,Yes,No,Consensus,0.733,0.0390380769968032,Both,N/A,N/A,N/A
k141_105289,Yes,No,Consensus,1.0,0.5180891156196594,Both,N/A,N/A,N/A
k141_42384,Yes,No,Consensus,0.7,0.1425843685865402,Both,N/A,N/A,N/A
k141_25804,Yes,No,Consensus,0.96,0.6327990889549255,Both,N/A,N/A,N/A
k141_82061,Yes,No,Consensus,0.96,9.384765462527866e-07,Both,N/A,N/A,N/A
k141_180069,Yes,No,Consensus,0.98,0.9887263774871826,Both,N/A,N/A,N/A
k141_136531,Yes,No,Consensus,0.507,0.0463387481868267,Both,N/A,N/A,N/A
k141_123254,Yes,No,Consensus,0.78,0.9243085384368896,Both,N/A,N/A,N/A
NODE_1003_length_1759_cov_6.676643,No,Yes,Consensus,N/A,N/A,N/A,0.807,0.7283309698104858,Both
k141_133270,Yes,No,Consensus,0.727,0.0487467348575592,Both,N/A,N/A,N/A
k141_61716,Yes,No,Consensus,0.807,0.3632351458072662,Both,N/A,N/A,N/A
NODE_106_length_3379_cov_3.513237,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.9999285340309144,Both
k141_180685,Yes,No,Consensus,0.707,0.0039591179229319,Both,N/A,N/A,N/A
k141_4896,Yes,No,Consensus,0.893,0.0024930501822382,Both,N/A,N/A,N/A
k141_138863,Yes,No,Consensus,0.613,0.0009244555840268,Both,N/A,N/A,N/A
NODE_5520_length_1095_cov_2.993269,No,Yes,Consensus,N/A,N/A,N/A,0.54,0.0124918622896075,Both
k141_99225,Yes,No,Consensus,0.593,2.9465216357493773e-05,Both,N/A,N/A,N/A
k141_74472,Yes,No,Consensus,0.927,0.0218788161873817,Both,N/A,N/A,N/A
k141_158113,Yes,No,Consensus,0.82,0.0666150152683258,Both,N/A,N/A,N/A
NODE_1357_length_1608_cov_1.590470,No,Yes,Consensus,N/A,N/A,N/A,0.907,0.1044110879302024,Both
k141_49138,Yes,No,Consensus,0.98,0.3078638315200805,Both,N/A,N/A,N/A
k141_3809,Yes,No,Consensus,0.92,0.0072587677277624,Both,N/A,N/A,N/A
NODE_583_length_2059_cov_2.571856,No,Yes,Consensus,N/A,N/A,N/A,0.513,9.33129122131504e-05,Both
k141_176956,Yes,No,Consensus,0.88,0.0046261064708232,Both,N/A,N/A,N/A
k141_130257,Yes,No,Consensus,0.973,0.098667986690998,Both,N/A,N/A,N/A
k141_106315,Yes,No,Consensus,0.973,0.0035056988708674,Both,N/A,N/A,N/A
k141_50375,Yes,No,Consensus,0.807,0.999915599822998,Both,N/A,N/A,N/A
k141_159160,Yes,No,Consensus,1.0,0.0535447895526886,Both,N/A,N/A,N/A
k141_178334,Yes,No,Consensus,0.887,0.0018833812791854,Both,N/A,N/A,N/A
k141_58639,Yes,No,Consensus,0.833,0.0003556763986125,Both,N/A,N/A,N/A
k141_177968,Yes,No,Consensus,0.8,0.0046811792999506,Both,N/A,N/A,N/A
k141_151212,Yes,No,Consensus,,0.937664031982422,Both,N/A,N/A,N/A
NODE_7315_length_1016_cov_1.958377,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.050762590020895,Both
k141_58136,Yes,No,Consensus,1.0,0.018955573439598,Both,N/A,N/A,N/A
k141_172627,Yes,No,Consensus,,0.6087085604667664,Both,N/A,N/A,N/A
k141_273,Yes,No,Consensus,0.773,0.4859459996223449,Both,N/A,N/A,N/A
k141_151536,Yes,No,Consensus,0.773,0.9837863445281982,Both,N/A,N/A,N/A
k141_66807,Yes,No,Consensus,0.607,9.46968502830714e-05,Both,N/A,N/A,N/A
NODE_4478_length_1163_cov_3.801444,No,Yes,Consensus,N/A,N/A,N/A,0.98,0.0020740223117172,Both
k141_94538,Yes,No,Consensus,0.727,0.0147344507277011,Both,N/A,N/A,N/A
k141_47310,Yes,No,Consensus,0.98,0.8457770943641663,Both,N/A,N/A,N/A
NODE_4168_length_1184_cov_3.765279,No,Yes,Consensus,N/A,N/A,N/A,0.553,0.626308798789978,Both
k141_73605,Yes,No,Consensus,0.993,0.9142813682556152,Both,N/A,N/A,N/A
k141_164390,Yes,No,Consensus,0.987,0.1793635189533233,Both,N/A,N/A,N/A
k141_1887,Yes,No,Consensus,0.553,0.0003749597526621,Both,N/A,N/A,N/A
k141_19890,Yes,No,Consensus,0.967,9.667804988566786e-05,Both,N/A,N/A,N/A
NODE_1936_length_1460_cov_3.055516,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.0061900047585368,Both
k141_176455,Yes,No,Consensus,0.587,6.829225753790524e-07,Both,N/A,N/A,N/A
k141_146028,Yes,No,Consensus,0.547,0.5543218851089478,Both,N/A,N/A,N/A
k141_130516,Yes,No,Consensus,0.933,0.1084285974502563,Both,N/A,N/A,N/A
k141_76482,Yes,No,Consensus,0.9,3.440301225055009e-05,Both,N/A,N/A,N/A
k141_86061,Yes,No,Consensus,0.68,1.883873665065039e-05,Both,N/A,N/A,N/A
k141_69889,Yes,No,Consensus,0.833,0.028151886537671,Both,N/A,N/A,N/A
k141_4596,Yes,No,Consensus,1.0,0.0435751676559448,Both,N/A,N/A,N/A
k141_101263,Yes,No,Consensus,0.94,9.985903488995971e-06,Both,N/A,N/A,N/A
k141_166695,Yes,No,Consensus,0.933,1.0642622328305151e-05,Both,N/A,N/A,N/A
k141_65405,Yes,No,Consensus,0.727,0.1435357928276062,Both,N/A,N/A,N/A
k141_62574,Yes,No,Consensus,0.847,0.0003165967646054,Both,N/A,N/A,N/A
k141_112395,Yes,No,Consensus,0.833,0.0002140139986295,Both,N/A,N/A,N/A
k141_57863,Yes,No,Consensus,0.833,0.0032648863270878,Both,N/A,N/A,N/A
k141_34897,Yes,No,Consensus,,0.017186239361763,Both,N/A,N/A,N/A
k141_90935,Yes,No,Consensus,0.507,0.0229216217994689,Both,N/A,N/A,N/A
k141_173103,Yes,No,Consensus,0.98,0.0271813832223415,Both,N/A,N/A,N/A
k141_163257,Yes,No,Consensus,0.827,1.841526318457909e-05,Both,N/A,N/A,N/A
k141_72809,Yes,No,Consensus,0.727,0.0106746312230825,Both,N/A,N/A,N/A
k141_15721,Yes,No,Consensus,0.973,0.1710739135742187,Both,N/A,N/A,N/A
NODE_1412_length_1589_cov_1.436115,No,Yes,Consensus,N/A,N/A,N/A,0.88,0.0503912605345249,Both
k141_694,Yes,No,Consensus,0.967,0.1202188581228256,Both,N/A,N/A,N/A
k141_172014,Yes,No,Consensus,1.0,0.9999985098838806,Both,N/A,N/A,N/A
NODE_6543_length_1047_cov_2.771169,No,Yes,Consensus,N/A,N/A,N/A,1.0,0.9994743466377258,Both
NODE_7365_length_1014_cov_2.621481,No,Yes,Consensus,N/A,N/A,N/A,,0.9998804330825806,Both
k141_121727,Yes,No,Consensus,0.747,0.0581588670611381,Both,N/A,N/A,N/A
k141_46339,Yes,No,Consensus,0.953,0.0003250386507716,Both,N/A,N/A,N/A
NODE_931_length_1799_cov_2.681193,No,Yes,Consensus,N/A,N/A,N/A,0.82,0.4625877737998962,Both
k141_76016,Yes,No,Consensus,0.527,0.0038747596554458,Both,N/A,N/A,N/A
k141_162847,Yes,No,Consensus,0.973,0.9768818616867064,Both,N/A,N/A,N/A
k141_131102,Yes,No,Consensus,0.613,0.0007167403819039,Both,N/A,N/A,N/A
k141_120536,Yes,No,Consensus,0.66,0.0057962774299085,Both,N/A,N/A,N/A
k141_137968,Yes,No,Consensus,,0.0022859573364257,Both,N/A,N/A,N/A
k141_114629,Yes,No,Consensus,0.58,0.8937814235687256,Both,N/A,N/A,N/A
k141_51850,Yes,No,Consensus,0.727,4.459358751773834e-05,Both,N/A,N/A,N/A
NODE_1263_length_1645_cov_2.336478,No,Yes,Consensus,N/A,N/A,N/A,0.527,0.0082700373604893,Both
k141_51700,Yes,No,Consensus,1.0,0.4774921238422394,Both,N/A,N/A,N/A
k141_79343,Yes,No,Consensus,1.0,0.0020449482835829,Both,N/A,N/A,N/A
k141_77434,Yes,No,Consensus,0.9,0.000857050938066,Both,N/A,N/A,N/A
k141_114874,Yes,No,Consensus,0.853,0.0012131615076214,Both,N/A,N/A,N/A
k141_170641,Yes,No,Consensus,0.98,0.1825874596834182,Both,N/A,N/A,N/A
k141_25854,Yes,No,Consensus,0.793,0.0310552604496479,Both,N/A,N/A,N/A
k141_54174,Yes,No,Consensus,0.607,0.0238137021660804,Both,N/A,N/A,N/A
k141_96273,Yes,No,Consensus,1.0,0.7745926380157471,Both,N/A,N/A,N/A
k141_149732,Yes,No,Consensus,1.0,0.7527948617935181,Both,N/A,N/A,N/A
k141_178340,Yes,No,Consensus,0.68,0.0003327289596199,Both,N/A,N/A,N/A
NODE_576_length_2064_cov_5.321553,No,Yes,Consensus,N/A,N/A,N/A,0.793,0.1238505020737648,Both
k141_136021,Yes,No,Consensus,0.533,0.0338755995035171,Both,N/A,N/A,N/A
k141_129354,Yes,No,Consensus,0.52,0.8245885372161865,Both,N/A,N/A,N/A
k141_128424,Yes,No,Consensus,0.6,0.0063768001273274,Both,N/A,N/A,N/A
NODE_4178_length_1184_cov_1.625332,No,Yes,Consensus,N/A,N/A,N/A,0.827,0.012385400943458,Both
k141_115350,Yes,No,Consensus,0.953,0.286873310804367,Both,N/A,N/A,N/A
k141_76773,Yes,No,Consensus,0.593,0.0132875330746173,Both,N/A,N/A,N/A
k141_41227,Yes,No,Consensus,0.967,1.3609831512439996e-05,Both,N/A,N/A,N/A
k141_103869,Yes,No,Consensus,0.907,0.0347561687231063,Both,N/A,N/A,N/A
k141_45556,Yes,No,Consensus,0.527,0.0888028591871261,Both,N/A,N/A,N/A
k141_103261,Yes,No,Consensus,0.833,0.0001027143880492,Both,N/A,N/A,N/A
k141_145064,Yes,No,Consensus,0.713,0.0160436499863863,Both,N/A,N/A,N/A
k141_63607,Yes,No,Consensus,0.573,0.4569699466228485,Both,N/A,N/A,N/A
k141_74273,Yes,No,Consensus,1.0,0.0678502917289733,Both,N/A,N/A,N/A
k141_106658,Yes,No,Consensus,0.987,0.2741233110427856,Both,N/A,N/A,N/A
k141_147116,Yes,No,Consensus,0.567,0.0139387091621756,Both,N/A,N/A,N/A
k141_60018,Yes,No,Consensus,0.553,0.5856148600578308,Both,N/A,N/A,N/A
k141_113569,Yes,No,Consensus,0.527,0.0015225068200379,Both,N/A,N/A,N/A
k141_113114,Yes,No,Consensus,0.827,0.0002699814212974,Both,N/A,N/A,N/A
k141_47062,Yes,No,Consensus,0.94,2.036716750808409e-08,Both,N/A,N/A,N/A
k141_80656,Yes,No,Consensus,,0.7244470715522766,Both,N/A,N/A,N/A
k141_80726,Yes,No,Consensus,0.613,0.4331327080726623,Both,N/A,N/A,N/A
k141_103329,Yes,No,Consensus,0.953,0.0001938754430739,Both,N/A,N/A,N/A
k141_129597,Yes,No,Consensus,0.66,0.0006898766150698,Both,N/A,N/A,N/A
k141_110461,Yes,No,Consensus,0.533,0.0033335841726511,Both,N/A,N/A,N/A
k141_33980,Yes,No,Consensus,0.873,9.560746548231692e-05,Both,N/A,N/A,N/A
k141_44382,Yes,No,Consensus,0.84,0.9568124413490297,Both,N/A,N/A,N/A
k141_149869,Yes,No,Consensus,1.0,4.102976163267158e-05,Both,N/A,N/A,N/A
k141_19006,Yes,No,Consensus,0.953,0.1400663554668426,Both,N/A,N/A,N/A
k141_93325,Yes,No,Consensus,0.953,0.1473810374736786,Both,N/A,N/A,N/A
k141_80863,Yes,No,Consensus,0.707,0.4268858134746551,Both,N/A,N/A,N/A
k141_162429,Yes,No,Consensus,,0.933775782585144,Both,N/A,N/A,N/A
k141_142036,Yes,No,Consensus,0.747,0.7212153077125549,Both,N/A,N/A,N/A
NODE_1946_length_1458_cov_2.116180,No,Yes,Consensus,N/A,N/A,N/A,0.547,0.3659594655036926,Both
k141_146860,Yes,No,Consensus,0.607,0.5024424195289612,Both,N/A,N/A,N/A
k141_63523,Yes,No,Consensus,0.713,0.1532229781150818,Both,N/A,N/A,N/A
k141_68779,Yes,No,Consensus,0.947,0.0623485893011093,Both,N/A,N/A,N/A
k141_23744,Yes,No,Consensus,0.767,0.2945290207862854,Both,N/A,N/A,N/A
k141_34698,Yes,No,Consensus,0.987,0.8451120853424072,Both,N/A,N/A,N/A
NODE_5456_length_1099_cov_1.512452,No,Yes,Consensus,N/A,N/A,N/A,0.507,0.1392670273780822,Both
k141_148250,Yes,No,Consensus,,0.1293117702007293,Both,N/A,N/A,N/A
k141_65221,Yes,No,Consensus,0.68,0.920878529548645,Both,N/A,N/A,N/A
k141_64620,Yes,No,Consensus,0.893,0.012278196401894,Both,N/A,N/A,N/A
k141_24086,Yes,No,Consensus,0.96,0.0378823392093181,Both,N/A,N/A,N/A
NODE_1671_length_1519_cov_2.061475,No,Yes,Consensus,N/A,N/A,N/A,,6.175736052682623e-05,Both
k141_173952,Yes,No,Consensus,0.993,0.0006496824789792,Both,N/A,N/A,N/A
k141_130048,Yes,No,Consensus,0.987,0.993998885154724,Both,N/A,N/A,N/A
k141_118841,Yes,No,Consensus,0.993,0.4455826878547668,Both,N/A,N/A,N/A
NODE_406_length_2312_cov_3.614976,No,Yes,Consensus,N/A,N/A,N/A,0.98,0.8215659856796265,Both
k141_23391,Yes,No,Consensus,0.713,0.0012286796700209,Both,N/A,N/A,N/A
k141_115957,Yes,No,Consensus,0.9,0.4843989014625549,Both,N/A,N/A,N/A
k141_34208,Yes,No,Consensus,0.7,0.0026046456769108,Both,N/A,N/A,N/A
k141_132739,Yes,No,Consensus,0.913,0.7816731929779053,Both,N/A,N/A,N/A
k141_160978,Yes,No,Consensus,0.787,0.026369510218501,Both,N/A,N/A,N/A
k141_57495,Yes,No,Consensus,0.967,0.022207174450159,Both,N/A,N/A,N/A
k141_35556,Yes,No,Consensus,0.547,0.1173536106944084,Both,N/A,N/A,N/A
k141_69488,Yes,No,Consensus,,0.309921532869339,Both,N/A,N/A,N/A
k141_160450,Yes,No,Consensus,0.947,0.5547200441360474,Both,N/A,N/A,N/A
k141_35805,Yes,No,Consensus,0.88,0.9178122282028198,Both,N/A,N/A,N/A
k141_8231,Yes,No,Consensus,0.873,0.329602986574173,Both,N/A,N/A,N/A
k141_128761,Yes,No,Consensus,0.64,0.0162255782634019,Both,N/A,N/A,N/A
NODE_1029_length_1742_cov_1.900415,No,Yes,Consensus,N/A,N/A,N/A,0.8,0.2640281319618225,Both
k141_171291,Yes,No,Consensus,0.967,2.4214768927777183e-05,Both,N/A,N/A,N/A
k141_130599,Yes,No,Consensus,0.5,0.0002921831037383,Both,N/A,N/A,N/A
k141_113965,Yes,No,Consensus,0.947,0.0842412039637565,Both,N/A,N/A,N/A
k141_75895,Yes,No,Consensus,0.733,1.7818368860389455e-06,Both,N/A,N/A,N/A
NODE_1488_length_1563_cov_2.441645,No,Yes,Consensus,N/A,N/A,N/A,1.0,0.1206463202834129,Both
k141_171916,Yes,No,Consensus,0.507,0.0106856785714626,Both,N/A,N/A,N/A
k141_3591,Yes,No,Consensus,0.667,0.5021407008171082,Both,N/A,N/A,N/A
k141_151559,Yes,No,Consensus,0.64,0.0001804525236366,Both,N/A,N/A,N/A
k141_146183,Yes,No,Consensus,1.0,0.606694757938385,Both,N/A,N/A,N/A
k141_2047,Yes,No,Consensus,0.567,4.6098430175334215e-05,Both,N/A,N/A,N/A
k141_26080,Yes,No,Consensus,0.867,0.019236410036683,Both,N/A,N/A,N/A
k141_82807,Yes,No,Consensus,0.607,0.0004146720748394,Both,N/A,N/A,N/A
k141_101769,Yes,No,Consensus,0.52,0.092534027993679,Both,N/A,N/A,N/A
NODE_5541_length_1094_cov_2.295476,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.2799174785614013,Both
NODE_858_length_1836_cov_3.687816,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.0307286195456981,Both
k141_80688,Yes,No,Consensus,0.767,0.0004398266028147,Both,N/A,N/A,N/A
k141_75774,Yes,No,Consensus,1.0,0.376132994890213,Both,N/A,N/A,N/A
k141_113414,Yes,No,Consensus,,0.75951087474823,Both,N/A,N/A,N/A
NODE_3733_length_1220_cov_2.378541,No,Yes,Consensus,N/A,N/A,N/A,0.907,0.0084741469472646,Both
k141_11679,Yes,No,Consensus,0.967,0.0005024569691158,Both,N/A,N/A,N/A
k141_120078,Yes,No,Consensus,0.62,1.5586977042403305e-06,Both,N/A,N/A,N/A
k141_132500,Yes,No,Consensus,0.507,0.0002380694349994,Both,N/A,N/A,N/A
k141_133768,Yes,No,Consensus,0.753,1.4541616110363975e-05,Both,N/A,N/A,N/A
k141_175381,Yes,No,Consensus,0.993,0.0012903425376862,Both,N/A,N/A,N/A
k141_120713,Yes,No,Consensus,1.0,0.0860435962677002,Both,N/A,N/A,N/A
k141_94699,Yes,No,Consensus,0.973,0.8696664571762085,Both,N/A,N/A,N/A
k141_7184,Yes,No,Consensus,0.727,0.9650814533233644,Both,N/A,N/A,N/A
NODE_5620_length_1090_cov_3.798068,No,Yes,Consensus,N/A,N/A,N/A,0.853,0.045408122241497,Both
k141_130156,Yes,No,Consensus,0.987,0.1134729236364364,Both,N/A,N/A,N/A
k141_88409,Yes,No,Consensus,0.507,0.0032426903489977,Both,N/A,N/A,N/A
k141_159743,Yes,No,Consensus,0.92,4.440236807567999e-05,Both,N/A,N/A,N/A
k141_1538,Yes,No,Consensus,1.0,0.0004313999088481,Both,N/A,N/A,N/A
k141_167799,Yes,No,Consensus,0.953,0.0042273448780179,Both,N/A,N/A,N/A
k141_109274,Yes,No,Consensus,0.973,0.9948791265487672,Both,N/A,N/A,N/A
k141_68054,Yes,No,Consensus,0.573,0.0060272458940744,Both,N/A,N/A,N/A
