sequence,found_in_MEGAHIT,found_in_SPAdes,status,MEGAHIT_vs2_score,MEGAHIT_dvf_score,MEGAHIT_identified_by,SPAdes_vs2_score,SPAdes_dvf_score,SPAdes_identified_by
k141_128330,Yes,No,Consensus,0.733,0.0241803172975778,Both,N/A,N/A,N/A
k141_84567,Yes,No,Consensus,0.727,2.1141768229426816e-06,Both,N/A,N/A,N/A
k141_51189,Yes,No,Consensus,0.727,4.459358751773834e-05,Both,N/A,N/A,N/A
k141_35705,Yes,No,Consensus,0.953,0.1318588256835937,Both,N/A,N/A,N/A
k141_65243,Yes,No,Consensus,0.573,0.4569699466228485,Both,N/A,N/A,N/A
NODE_6159_length_1064_cov_1.794846,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.028333643451333,Both
k141_175076,Yes,No,Consensus,0.887,1.9775146938627582e-05,Both,N/A,N/A,N/A
k141_29077,Yes,No,Consensus,0.56,0.0092075681313872,Both,N/A,N/A,N/A
k141_120001,Yes,No,Consensus,0.747,0.0581588670611381,Both,N/A,N/A,N/A
k141_128909,Yes,No,Consensus,0.64,0.0162255782634019,Both,N/A,N/A,N/A
k141_15475,Yes,No,Consensus,0.973,0.1710739135742187,Both,N/A,N/A,N/A
k141_100096,Yes,No,Consensus,0.54,0.0162412654608488,Both,N/A,N/A,N/A
k141_157578,Yes,No,Consensus,0.627,0.8650914430618286,Both,N/A,N/A,N/A
k141_37658,Yes,No,Consensus,0.96,0.0547260232269763,Both,N/A,N/A,N/A
k141_3572,Yes,No,Consensus,0.667,0.5021407008171082,Both,N/A,N/A,N/A
k141_3784,Yes,No,Consensus,0.647,5.665910066454671e-06,Both,N/A,N/A,N/A
k141_78273,Yes,No,Consensus,1.0,0.0020449482835829,Both,N/A,N/A,N/A
k141_50030,Yes,No,Consensus,0.987,0.3906688094139099,Both,N/A,N/A,N/A
k141_57893,Yes,No,Consensus,0.96,0.0001590135798323,Both,N/A,N/A,N/A
k141_102896,Yes,No,Consensus,0.993,0.0635904893279075,Both,N/A,N/A,N/A
k141_44352,Yes,No,Consensus,1.0,0.6210640668869019,Both,N/A,N/A,N/A
k141_113390,Yes,No,Consensus,0.527,0.0015225068200379,Both,N/A,N/A,N/A
k141_177584,Yes,No,Consensus,0.587,6.829225753790524e-07,Both,N/A,N/A,N/A
k141_106051,Yes,No,Consensus,0.687,0.0619869083166122,Both,N/A,N/A,N/A
k141_179907,Yes,No,Consensus,0.993,0.4716567695140838,Both,N/A,N/A,N/A
k141_682,Yes,No,Consensus,0.967,0.1202188581228256,Both,N/A,N/A,N/A
k141_29454,Yes,No,Consensus,0.98,0.0222438909113407,Both,N/A,N/A,N/A
k141_32013,Yes,No,Consensus,0.993,0.999946355819702,Both,N/A,N/A,N/A
NODE_857_length_1837_cov_1.977553,No,Yes,Consensus,N/A,N/A,N/A,0.92,0.5177040100097656,Both
k141_129544,Yes,No,Consensus,0.887,0.9587203860282898,Both,N/A,N/A,N/A
NODE_3829_length_1212_cov_1.896283,No,Yes,Consensus,N/A,N/A,N/A,0.54,6.485990161309019e-05,Both
k141_121326,Yes,No,Consensus,0.827,0.1218759045004844,Both,N/A,N/A,N/A
NODE_110_length_3362_cov_3.798911,No,Yes,Consensus,N/A,N/A,N/A,0.787,0.0010084901005029,Both
k141_28809,Yes,No,Consensus,0.54,4.419876495376229e-05,Both,N/A,N/A,N/A
k141_45019,Yes,No,Consensus,0.993,0.0014490998582914,Both,N/A,N/A,N/A
k141_91404,Yes,No,Consensus,0.593,0.0566846877336502,Both,N/A,N/A,N/A
k141_93675,Yes,No,Consensus,1.0,0.000140405332786,Both,N/A,N/A,N/A
k141_107192,Yes,No,Consensus,0.92,0.4081245064735412,Both,N/A,N/A,N/A
k141_40320,Yes,No,Consensus,0.627,0.0131282228976488,Both,N/A,N/A,N/A
k141_110450,Yes,No,Consensus,0.54,0.0478082448244094,Both,N/A,N/A,N/A
k141_23545,Yes,No,Consensus,0.9,0.0275319479405879,Both,N/A,N/A,N/A
k141_135363,Yes,No,Consensus,0.813,0.039243321865797,Both,N/A,N/A,N/A
k141_76485,Yes,No,Consensus,0.88,0.0001341035967925,Both,N/A,N/A,N/A
k141_104393,Yes,No,Consensus,0.98,0.0134644331410527,Both,N/A,N/A,N/A
k141_82023,Yes,No,Consensus,,0.7244470715522766,Both,N/A,N/A,N/A
k141_119730,Yes,No,Consensus,0.927,0.0166230015456676,Both,N/A,N/A,N/A
k141_2036,Yes,No,Consensus,0.567,4.6098430175334215e-05,Both,N/A,N/A,N/A
NODE_6517_length_1048_cov_2.368580,No,Yes,Consensus,N/A,N/A,N/A,0.62,0.0010431574191898,Both
k141_138638,Yes,No,Consensus,0.813,0.019305732101202,Both,N/A,N/A,N/A
k141_48000,Yes,No,Consensus,0.587,0.0004213616775814,Both,N/A,N/A,N/A
k141_66308,Yes,No,Consensus,0.68,0.920878529548645,Both,N/A,N/A,N/A
k141_6781,Yes,No,Consensus,0.867,0.5081430673599243,Both,N/A,N/A,N/A
k141_141348,Yes,No,Consensus,0.613,7.234510213116605e-10,Both,N/A,N/A,N/A
k141_37332,Yes,No,Consensus,0.747,0.0107491053640842,Both,N/A,N/A,N/A
k141_93111,Yes,No,Consensus,0.993,0.3811176121234894,Both,N/A,N/A,N/A
k141_129305,Yes,No,Consensus,0.56,0.4600738883018493,Both,N/A,N/A,N/A
k141_157383,Yes,No,Consensus,0.773,0.0212984476238489,Both,N/A,N/A,N/A
k141_178582,Yes,No,Consensus,0.64,4.556683052214794e-05,Both,N/A,N/A,N/A
NODE_6081_length_1068_cov_0.989141,No,Yes,Consensus,N/A,N/A,N/A,0.86,7.282982323886245e-07,Both
k141_57847,Yes,No,Consensus,0.833,0.0003556763986125,Both,N/A,N/A,N/A
k141_38690,Yes,No,Consensus,0.587,2.025819640039117e-06,Both,N/A,N/A,N/A
k141_181163,Yes,No,Consensus,0.987,0.517135500907898,Both,N/A,N/A,N/A
k141_120608,Yes,No,Consensus,0.52,0.0216629821807146,Both,N/A,N/A,N/A
k141_134224,Yes,No,Consensus,0.567,7.607349772342786e-08,Both,N/A,N/A,N/A
k141_49812,Yes,No,Consensus,0.96,0.0002950239868368,Both,N/A,N/A,N/A
k141_118362,Yes,No,Consensus,0.993,6.791538908146322e-05,Both,N/A,N/A,N/A
k141_131891,Yes,No,Consensus,1.0,0.9972081184387208,Both,N/A,N/A,N/A
k141_41476,Yes,No,Consensus,0.953,3.674795152619481e-07,Both,N/A,N/A,N/A
k141_152488,Yes,No,Consensus,0.933,0.0118227796629071,Both,N/A,N/A,N/A
k141_155846,Yes,No,Consensus,0.94,1.1033243936253712e-05,Both,N/A,N/A,N/A
k141_167464,Yes,No,Consensus,0.587,6.929654773557559e-05,Both,N/A,N/A,N/A
k141_173731,Yes,No,Consensus,0.847,0.1938592791557312,Both,N/A,N/A,N/A
NODE_2829_length_1314_cov_2.148531,No,Yes,Consensus,N/A,N/A,N/A,0.66,0.0062378523871302,Both
k141_176523,Yes,No,Consensus,0.987,0.7840257287025452,Both,N/A,N/A,N/A
k141_28425,Yes,No,Consensus,0.973,0.0097278524190187,Both,N/A,N/A,N/A
k141_84234,Yes,No,Consensus,0.967,0.3425141274929046,Both,N/A,N/A,N/A
k141_173468,Yes,No,Consensus,1.0,0.9999985098838806,Both,N/A,N/A,N/A
k141_60865,Yes,No,Consensus,0.88,0.0368326231837272,Both,N/A,N/A,N/A
k141_6669,Yes,No,Consensus,1.0,0.0031115522142499,Both,N/A,N/A,N/A
k141_13049,Yes,No,Consensus,0.987,0.0374030694365501,Both,N/A,N/A,N/A
NODE_6077_length_1068_cov_1.394867,No,Yes,Consensus,N/A,N/A,N/A,0.98,2.454846253385768e-05,Both
k141_112115,Yes,No,Consensus,0.76,0.2175377011299133,Both,N/A,N/A,N/A
k141_2712,Yes,No,Consensus,0.98,0.0001940910005941,Both,N/A,N/A,N/A
k141_131911,Yes,No,Consensus,0.987,0.1134729236364364,Both,N/A,N/A,N/A
k141_166143,Yes,No,Consensus,0.573,0.6457191705703735,Both,N/A,N/A,N/A
k141_44513,Yes,No,Consensus,0.693,1.632924067962449e-06,Both,N/A,N/A,N/A
k141_168967,Yes,No,Consensus,0.987,0.1416022926568985,Both,N/A,N/A,N/A
k141_20093,Yes,No,Consensus,0.947,0.0065342346206307,Both,N/A,N/A,N/A
k141_163644,Yes,No,Consensus,0.84,0.0023028384894132,Both,N/A,N/A,N/A
k141_93062,Yes,No,Consensus,0.96,0.5194762945175171,Both,N/A,N/A,N/A
k141_44269,Yes,No,Consensus,0.527,0.0888028591871261,Both,N/A,N/A,N/A
k141_156793,Yes,No,Consensus,0.967,0.0019240545807406,Both,N/A,N/A,N/A
k141_178779,Yes,No,Consensus,0.847,0.0002166408667108,Both,N/A,N/A,N/A
k141_47477,Yes,No,Consensus,0.967,0.2931733429431915,Both,N/A,N/A,N/A
k141_176389,Yes,No,Consensus,0.98,0.4196969866752624,Both,N/A,N/A,N/A
k141_57140,Yes,No,Consensus,0.833,0.0032648863270878,Both,N/A,N/A,N/A
k141_154181,Yes,No,Consensus,0.973,0.7194817662239075,Both,N/A,N/A,N/A
k141_17068,Yes,No,Consensus,0.813,0.1071407720446586,Both,N/A,N/A,N/A
k141_53381,Yes,No,Consensus,1.0,0.0387653820216655,Both,N/A,N/A,N/A
k141_25134,Yes,No,Consensus,1.0,0.1133955344557762,Both,N/A,N/A,N/A
k141_153640,Yes,No,Consensus,0.707,0.1444033533334732,Both,N/A,N/A,N/A
k141_9124,Yes,No,Consensus,0.987,3.7523677747230977e-06,Both,N/A,N/A,N/A
k141_60485,Yes,No,Consensus,0.94,0.0131899444386363,Both,N/A,N/A,N/A
k141_92113,Yes,No,Consensus,0.66,0.0770648345351219,Both,N/A,N/A,N/A
k141_128972,Yes,No,Consensus,0.873,0.558771550655365,Both,N/A,N/A,N/A
NODE_2644_length_1339_cov_1.728972,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.4108749628067016,Both
k141_173053,Yes,No,Consensus,0.993,0.0006496824789792,Both,N/A,N/A,N/A
NODE_7098_length_1026_cov_1.129763,No,Yes,Consensus,N/A,N/A,N/A,0.933,0.0002956288517452,Both
k141_152671,Yes,No,Consensus,0.813,0.321311891078949,Both,N/A,N/A,N/A
k141_151050,Yes,No,Consensus,1.0,0.7128375768661499,Both,N/A,N/A,N/A
k141_69425,Yes,No,Consensus,0.547,0.0029472904279828,Both,N/A,N/A,N/A
k141_156572,Yes,No,Consensus,0.88,0.0004404970386531,Both,N/A,N/A,N/A
k141_56997,Yes,No,Consensus,0.927,0.2336889505386352,Both,N/A,N/A,N/A
k141_169297,Yes,No,Consensus,0.593,9.77891613729298e-05,Both,N/A,N/A,N/A
k141_27217,Yes,No,Consensus,0.58,8.152415489348641e-07,Both,N/A,N/A,N/A
k141_39729,Yes,No,Consensus,0.573,0.007634749636054,Both,N/A,N/A,N/A
k141_35319,Yes,No,Consensus,0.673,0.0062171462923288,Both,N/A,N/A,N/A
k141_127320,Yes,No,Consensus,0.98,0.7278327345848083,Both,N/A,N/A,N/A
k141_142855,Yes,No,Consensus,0.88,0.3769207596778869,Both,N/A,N/A,N/A
k141_126255,Yes,No,Consensus,0.773,0.0067649795673787,Both,N/A,N/A,N/A
k141_15047,Yes,No,Consensus,1.0,0.5771716237068176,Both,N/A,N/A,N/A
k141_113789,Yes,No,Consensus,0.58,0.8937814235687256,Both,N/A,N/A,N/A
k141_89059,Yes,No,Consensus,0.92,0.1298690736293792,Both,N/A,N/A,N/A
k141_117279,Yes,No,Consensus,0.967,0.0358787849545478,Both,N/A,N/A,N/A
k141_28067,Yes,No,Consensus,0.84,5.0744861646023764e-09,Both,N/A,N/A,N/A
k141_50711,Yes,No,Consensus,0.92,0.3703588843345642,Both,N/A,N/A,N/A
k141_23187,Yes,No,Consensus,0.807,0.353896826505661,Both,N/A,N/A,N/A
NODE_2322_length_1388_cov_1.498875,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.0027873907238245,Both
k141_67937,Yes,No,Consensus,1.0,1.9332845113240182e-05,Both,N/A,N/A,N/A
k141_93342,Yes,No,Consensus,0.72,0.0016675610095262,Both,N/A,N/A,N/A
k141_33773,Yes,No,Consensus,0.953,0.0039060821291059,Both,N/A,N/A,N/A
k141_172796,Yes,No,Consensus,0.867,0.0089716091752052,Both,N/A,N/A,N/A
k141_17579,Yes,No,Consensus,0.987,0.0212732087820768,Both,N/A,N/A,N/A
k141_117304,Yes,No,Consensus,0.987,0.1257436424493789,Both,N/A,N/A,N/A
k141_92242,Yes,No,Consensus,0.513,2.015817983647139e-07,Both,N/A,N/A,N/A
k141_15903,Yes,No,Consensus,0.96,0.9827163219451904,Both,N/A,N/A,N/A
k141_149671,Yes,No,Consensus,1.0,0.080734334886074,Both,N/A,N/A,N/A
k141_138848,Yes,No,Consensus,0.913,0.125103548169136,Both,N/A,N/A,N/A
k141_28500,Yes,No,Consensus,0.793,0.1746286451816558,Both,N/A,N/A,N/A
k141_262,Yes,No,Consensus,0.773,0.4859459996223449,Both,N/A,N/A,N/A
k141_120501,Yes,No,Consensus,1.0,0.0860435962677002,Both,N/A,N/A,N/A
k141_95315,Yes,No,Consensus,0.833,3.855361541127422e-08,Both,N/A,N/A,N/A
k141_84928,Yes,No,Consensus,0.753,0.000441743992269,Both,N/A,N/A,N/A
k141_25492,Yes,No,Consensus,0.793,0.0310552604496479,Both,N/A,N/A,N/A
k141_149139,Yes,No,Consensus,1.0,0.1381645798683166,Both,N/A,N/A,N/A
k141_74812,Yes,No,Consensus,0.993,0.1029539704322815,Both,N/A,N/A,N/A
k141_119677,Yes,No,Consensus,0.993,0.4455826878547668,Both,N/A,N/A,N/A
k141_6558,Yes,No,Consensus,,0.7596675753593445,Both,N/A,N/A,N/A
k141_104441,Yes,No,Consensus,0.56,0.0079804081469774,Both,N/A,N/A,N/A
k141_160535,Yes,No,Consensus,1.0,1.4598708020230332e-08,Both,N/A,N/A,N/A
k141_36360,Yes,No,Consensus,0.54,0.0252596363425254,Both,N/A,N/A,N/A
k141_158490,Yes,No,Consensus,0.893,0.3509960770606994,Both,N/A,N/A,N/A
k141_12502,Yes,No,Consensus,0.607,0.0120110381394624,Both,N/A,N/A,N/A
k141_139603,Yes,No,Consensus,0.86,0.0421714931726455,Both,N/A,N/A,N/A
k141_158044,Yes,No,Consensus,0.927,0.9404998421669006,Both,N/A,N/A,N/A
k141_52781,Yes,No,Consensus,0.94,0.1684770882129669,Both,N/A,N/A,N/A
k141_34574,Yes,No,Consensus,1.0,0.0034895124845206,Both,N/A,N/A,N/A
NODE_4533_length_1160_cov_1.214480,No,Yes,Consensus,N/A,N/A,N/A,0.88,0.9180041551589966,Both
k141_165695,Yes,No,Consensus,0.933,1.0642622328305151e-05,Both,N/A,N/A,N/A
k141_149423,Yes,No,Consensus,1.0,0.1039493754506111,Both,N/A,N/A,N/A
k141_118703,Yes,No,Consensus,0.793,0.0119784651324152,Both,N/A,N/A,N/A
NODE_7315_length_1016_cov_1.958377,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.050762590020895,Both
NODE_4073_length_1193_cov_1.251318,No,Yes,Consensus,N/A,N/A,N/A,0.567,0.0263841040432453,Both
k141_26382,Yes,No,Consensus,0.693,0.0001045865501509,Both,N/A,N/A,N/A
k141_15879,Yes,No,Consensus,0.507,0.8138611912727356,Both,N/A,N/A,N/A
k141_72878,Yes,No,Consensus,0.793,0.9584810733795166,Both,N/A,N/A,N/A
k141_30246,Yes,No,Consensus,0.62,0.0014655422419309,Both,N/A,N/A,N/A
NODE_2796_length_1317_cov_3.618859,No,Yes,Consensus,N/A,N/A,N/A,0.733,0.530795693397522,Both
k141_21840,Yes,No,Consensus,0.547,0.001060600974597,Both,N/A,N/A,N/A
k141_134714,Yes,No,Consensus,0.713,0.0203892327845096,Both,N/A,N/A,N/A
k141_57237,Yes,No,Consensus,0.933,0.0059214904904365,Both,N/A,N/A,N/A
NODE_858_length_1836_cov_3.687816,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.0307286195456981,Both
NODE_1056_length_1730_cov_3.011343,No,Yes,Consensus,N/A,N/A,N/A,0.753,8.174613867595326e-06,Both
k141_142472,Yes,No,Consensus,0.953,0.3799614012241363,Both,N/A,N/A,N/A
k141_8094,Yes,No,Consensus,0.927,0.4628551602363586,Both,N/A,N/A,N/A
k141_100975,Yes,No,Consensus,,9.538710799006368e-08,Both,N/A,N/A,N/A
NODE_24_length_4497_cov_3.800090,No,Yes,Consensus,N/A,N/A,N/A,0.787,0.260119616985321,Both
k141_32224,Yes,No,Consensus,0.9,0.4708847999572754,Both,N/A,N/A,N/A
k141_111690,Yes,No,Consensus,0.527,0.988128900527954,Both,N/A,N/A,N/A
NODE_3271_length_1264_cov_1.328371,No,Yes,Consensus,N/A,N/A,N/A,0.98,7.241222647280665e-06,Both
k141_155815,Yes,No,Consensus,0.933,0.0110696926712989,Both,N/A,N/A,N/A
k141_353,Yes,No,Consensus,0.573,0.0001353783736703,Both,N/A,N/A,N/A
NODE_7102_length_1025_cov_3.312371,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.1595101952552795,Both
NODE_6033_length_1070_cov_2.328079,No,Yes,Consensus,N/A,N/A,N/A,0.547,4.953210411273723e-11,Both
k141_84971,Yes,No,Consensus,0.613,0.0002961391001008,Both,N/A,N/A,N/A
k141_129325,Yes,No,Consensus,0.987,0.993998885154724,Both,N/A,N/A,N/A
k141_114756,Yes,No,Consensus,0.947,0.0842412039637565,Both,N/A,N/A,N/A
k141_12697,Yes,No,Consensus,0.68,0.0332037881016731,Both,N/A,N/A,N/A
k141_15306,Yes,No,Consensus,0.76,0.1690507382154464,Both,N/A,N/A,N/A
k141_12852,Yes,No,Consensus,0.993,0.2593275010585785,Both,N/A,N/A,N/A
k141_74851,Yes,No,Consensus,0.68,0.1048060581088066,Both,N/A,N/A,N/A
k141_114702,Yes,No,Consensus,0.767,9.981781659007538e-06,Both,N/A,N/A,N/A
k141_84837,Yes,No,Consensus,0.68,1.883873665065039e-05,Both,N/A,N/A,N/A
NODE_2886_length_1308_cov_2.083799,No,Yes,Consensus,N/A,N/A,N/A,0.94,0.2460124045610427,Both
k141_162701,Yes,No,Consensus,0.887,0.7739719748497009,Both,N/A,N/A,N/A
k141_85869,Yes,No,Consensus,0.753,0.000130977059598,Both,N/A,N/A,N/A
k141_28670,Yes,No,Consensus,0.96,0.0096831079572439,Both,N/A,N/A,N/A
k141_36140,Yes,No,Consensus,0.88,0.9178122282028198,Both,N/A,N/A,N/A
k141_122160,Yes,No,Consensus,0.913,0.0430673882365226,Both,N/A,N/A,N/A
k141_138888,Yes,No,Consensus,,2.1918398488196544e-05,Both,N/A,N/A,N/A
k141_124391,Yes,No,Consensus,0.507,0.0064665633253753,Both,N/A,N/A,N/A
k141_129796,Yes,No,Consensus,1.0,0.9666980504989624,Both,N/A,N/A,N/A
NODE_7365_length_1014_cov_2.621481,No,Yes,Consensus,N/A,N/A,N/A,,0.9998804330825806,Both
k141_138389,Yes,No,Consensus,0.66,0.902114748954773,Both,N/A,N/A,N/A
k141_68649,Yes,No,Consensus,0.947,0.0003884187026415,Both,N/A,N/A,N/A
k141_131383,Yes,No,Consensus,0.84,0.2471054345369339,Both,N/A,N/A,N/A
k141_162158,Yes,No,Consensus,0.513,0.0473412349820137,Both,N/A,N/A,N/A
k141_72455,Yes,No,Consensus,0.64,0.0093993842601776,Both,N/A,N/A,N/A
k141_151271,Yes,No,Consensus,0.973,0.0097390441223979,Both,N/A,N/A,N/A
k141_62439,Yes,No,Consensus,0.7,0.046434860676527,Both,N/A,N/A,N/A
k141_34530,Yes,No,Consensus,,0.017186239361763,Both,N/A,N/A,N/A
k141_170125,Yes,No,Consensus,1.0,0.2906345725059509,Both,N/A,N/A,N/A
k141_171663,Yes,No,Consensus,0.88,0.3618443310260772,Both,N/A,N/A,N/A
k141_32967,Yes,No,Consensus,0.98,0.1950361430644989,Both,N/A,N/A,N/A
k141_148074,Yes,No,Consensus,0.807,0.0870129019021987,Both,N/A,N/A,N/A
k141_27482,Yes,No,Consensus,0.687,0.057028017938137,Both,N/A,N/A,N/A
k141_134267,Yes,No,Consensus,0.507,0.0002380694349994,Both,N/A,N/A,N/A
k141_173659,Yes,No,Consensus,1.0,0.0018022244330495,Both,N/A,N/A,N/A
NODE_2613_length_1342_cov_2.698524,No,Yes,Consensus,N/A,N/A,N/A,,0.8336395621299744,Both
k141_104933,Yes,No,Consensus,0.687,0.0014943110290914,Both,N/A,N/A,N/A
k141_135483,Yes,No,Consensus,0.74,9.842174767982216e-05,Both,N/A,N/A,N/A
k141_105077,Yes,No,Consensus,0.833,0.0001027143880492,Both,N/A,N/A,N/A
NODE_6634_length_1043_cov_2.788462,No,Yes,Consensus,N/A,N/A,N/A,0.72,4.014590899714676e-07,Both
k141_179715,Yes,No,Consensus,0.92,0.0004767454229295,Both,N/A,N/A,N/A
NODE_26_length_4438_cov_7.225416,No,Yes,Consensus,N/A,N/A,N/A,0.567,0.5447288155555725,Both
k141_46965,Yes,No,Consensus,0.993,0.015403619967401,Both,N/A,N/A,N/A
k141_22064,Yes,No,Consensus,1.0,1.897218680824153e-05,Both,N/A,N/A,N/A
k141_88416,Yes,No,Consensus,0.92,4.151027314946987e-05,Both,N/A,N/A,N/A
k141_171259,Yes,No,Consensus,0.507,3.509503088139354e-08,Both,N/A,N/A,N/A
k141_22933,Yes,No,Consensus,0.96,0.0154285328462719,Both,N/A,N/A,N/A
k141_55610,Yes,No,Consensus,0.867,1.2008490557491314e-06,Both,N/A,N/A,N/A
k141_46331,Yes,No,Consensus,0.667,0.0077171409502625,Both,N/A,N/A,N/A
k141_90325,Yes,No,Consensus,0.667,0.0115429647266864,Both,N/A,N/A,N/A
k141_75955,Yes,No,Consensus,0.813,6.51434959308972e-08,Both,N/A,N/A,N/A
k141_97181,Yes,No,Consensus,0.847,0.0012620303314179,Both,N/A,N/A,N/A
NODE_6181_length_1063_cov_2.081349,No,Yes,Consensus,N/A,N/A,N/A,0.58,0.00800087954849,Both
k141_51386,Yes,No,Consensus,0.813,0.2491806447505951,Both,N/A,N/A,N/A
k141_148857,Yes,No,Consensus,0.9,0.9998793601989746,Both,N/A,N/A,N/A
k141_161377,Yes,No,Consensus,0.987,0.0016045470256358,Both,N/A,N/A,N/A
k141_127417,Yes,No,Consensus,,0.0097096571698784,Both,N/A,N/A,N/A
k141_178694,Yes,No,Consensus,0.98,0.0016816216520965,Both,N/A,N/A,N/A
k141_21633,Yes,No,Consensus,0.92,0.2796322107315063,Both,N/A,N/A,N/A
k141_176623,Yes,No,Consensus,0.987,0.0490828901529312,Both,N/A,N/A,N/A
k141_160653,Yes,No,Consensus,0.507,5.49820797459688e-05,Both,N/A,N/A,N/A
k141_113583,Yes,No,Consensus,0.827,0.0002699814212974,Both,N/A,N/A,N/A
k141_143222,Yes,No,Consensus,0.667,1.1548304428288247e-05,Both,N/A,N/A,N/A
k141_33558,Yes,No,Consensus,0.987,0.9980487823486328,Both,N/A,N/A,N/A
k141_175532,Yes,No,Consensus,0.693,0.0045992149971425,Both,N/A,N/A,N/A
k141_157852,Yes,No,Consensus,0.947,0.012770103290677,Both,N/A,N/A,N/A
NODE_3813_length_1213_cov_2.879965,No,Yes,Consensus,N/A,N/A,N/A,0.553,0.1614439487457275,Both
NODE_7126_length_1024_cov_1.636739,No,Yes,Consensus,N/A,N/A,N/A,0.547,0.7961000204086304,Both
k141_51237,Yes,No,Consensus,0.5,9.629184933146462e-05,Both,N/A,N/A,N/A
k141_92062,Yes,No,Consensus,0.993,0.4297851920127868,Both,N/A,N/A,N/A
k141_145107,Yes,No,Consensus,0.953,0.0024398036766797,Both,N/A,N/A,N/A
k141_174583,Yes,No,Consensus,0.993,0.0012903425376862,Both,N/A,N/A,N/A
k141_36733,Yes,No,Consensus,0.833,8.008305485418532e-06,Both,N/A,N/A,N/A
k141_166530,Yes,No,Consensus,0.98,0.9406976103782654,Both,N/A,N/A,N/A
k141_170864,Yes,No,Consensus,0.947,0.9878159761428832,Both,N/A,N/A,N/A
k141_141671,Yes,No,Consensus,0.647,0.1546206623315811,Both,N/A,N/A,N/A
k141_173949,Yes,No,Consensus,,0.4415814578533172,Both,N/A,N/A,N/A
k141_167749,Yes,No,Consensus,1.0,0.0006326769362203,Both,N/A,N/A,N/A
k141_99601,Yes,No,Consensus,0.88,0.3212895691394806,Both,N/A,N/A,N/A
k141_170424,Yes,No,Consensus,0.967,2.4214768927777183e-05,Both,N/A,N/A,N/A
k141_41573,Yes,No,Consensus,0.513,0.1477270275354385,Both,N/A,N/A,N/A
k141_58008,Yes,No,Consensus,0.967,0.0003815824748016,Both,N/A,N/A,N/A
k141_102515,Yes,No,Consensus,0.947,0.9962468147277832,Both,N/A,N/A,N/A
k141_155876,Yes,No,Consensus,0.5,0.0986016541719436,Both,N/A,N/A,N/A
k141_121845,Yes,No,Consensus,0.593,0.0068213026970624,Both,N/A,N/A,N/A
k141_75601,Yes,No,Consensus,1.0,0.0678502917289733,Both,N/A,N/A,N/A
NODE_5644_length_1089_cov_1.836557,No,Yes,Consensus,N/A,N/A,N/A,0.953,0.9998252391815186,Both
k141_98002,Yes,No,Consensus,0.96,0.972129225730896,Both,N/A,N/A,N/A
k141_97089,Yes,No,Consensus,,0.0017139675328508,Both,N/A,N/A,N/A
k141_35689,Yes,No,Consensus,0.7,0.5877812504768372,Both,N/A,N/A,N/A
k141_72892,Yes,No,Consensus,0.933,0.1147122457623481,Both,N/A,N/A,N/A
k141_59885,Yes,No,Consensus,0.973,0.0015335667412728,Both,N/A,N/A,N/A
NODE_4866_length_1137_cov_1.772643,No,Yes,Consensus,N/A,N/A,N/A,0.553,0.0009807870956137,Both
k141_173549,Yes,No,Consensus,0.64,3.978349923272617e-06,Both,N/A,N/A,N/A
k141_106817,Yes,No,Consensus,0.993,0.4068669974803924,Both,N/A,N/A,N/A
k141_74965,Yes,No,Consensus,0.733,1.7818368860389455e-06,Both,N/A,N/A,N/A
k141_63581,Yes,No,Consensus,0.86,0.009207603521645,Both,N/A,N/A,N/A
k141_12543,Yes,No,Consensus,0.94,0.0671529620885849,Both,N/A,N/A,N/A
k141_32184,Yes,No,Consensus,0.847,0.0197706054896116,Both,N/A,N/A,N/A
k141_15961,Yes,No,Consensus,0.893,0.0026912144385278,Both,N/A,N/A,N/A
k141_78553,Yes,No,Consensus,0.8,0.9843206405639648,Both,N/A,N/A,N/A
k141_120070,Yes,No,Consensus,0.833,0.1285146474838256,Both,N/A,N/A,N/A
k141_142636,Yes,No,Consensus,0.96,0.9992313385009766,Both,N/A,N/A,N/A
k141_175570,Yes,No,Consensus,0.92,0.0460599362850189,Both,N/A,N/A,N/A
k141_152738,Yes,No,Consensus,,0.937664031982422,Both,N/A,N/A,N/A
k141_170694,Yes,No,Consensus,0.753,0.2218731343746185,Both,N/A,N/A,N/A
k141_52829,Yes,No,Consensus,0.74,0.3661711513996124,Both,N/A,N/A,N/A
k141_126363,Yes,No,Consensus,0.52,0.0071559436619281,Both,N/A,N/A,N/A
k141_68372,Yes,No,Consensus,1.0,0.7343013882637024,Both,N/A,N/A,N/A
k141_14227,Yes,No,Consensus,0.98,0.0111158415675163,Both,N/A,N/A,N/A
k141_86760,Yes,No,Consensus,0.607,5.761742158938432e-06,Both,N/A,N/A,N/A
k141_6490,Yes,No,Consensus,1.0,0.7573130130767822,Both,N/A,N/A,N/A
k141_172984,Yes,No,Consensus,0.933,0.1162680238485336,Both,N/A,N/A,N/A
k141_50687,Yes,No,Consensus,0.7,4.196817371848738e-06,Both,N/A,N/A,N/A
k141_76533,Yes,No,Consensus,0.9,0.000857050938066,Both,N/A,N/A,N/A
